,ecg,eda,acc
0,0.1,9.47,-0.26
1,0.135,9.5,-0.221
2,-0.028999999999999998,10.89,-0.183
3,0.07,10.67,-0.231
4,0.07,9.57,-0.26899999999999996
5,0.038,10.33,-0.231
6,-0.114,10.91,-0.183
7,0.044000000000000004,10.47,-0.221
8,0.055999999999999994,9.45,-0.26899999999999996
9,0.07,9.91,-0.231
10,-0.073,10.89,-0.192
11,0.059000000000000004,10.72,-0.231
12,0.12300000000000001,9.72,-0.26899999999999996
13,0.319,9.5,-0.221
14,0.267,10.89,-0.183
15,0.188,10.64,-0.231
16,-0.419,9.45,-0.26899999999999996
17,-0.331,9.74,-0.221
18,-0.226,10.84,-0.183
19,0.032,10.86,-0.221
20,0.111,10.38,-0.26
21,0.17600000000000002,9.37,-0.221
22,0.10300000000000001,9.99,-0.183
23,0.018000000000000002,10.91,-0.231
24,0.111,10.28,-0.27899999999999997
25,0.161,9.52,-0.221
26,-0.009000000000000001,10.89,-0.192
27,0.067,10.84,-0.221
28,0.12300000000000001,9.96,-0.26899999999999996
29,0.16399999999999998,9.5,-0.221
30,0.047,10.82,-0.192
31,0.073,10.86,-0.221
32,0.161,10.23,-0.26899999999999996
33,0.21100000000000002,9.4,-0.221
34,0.11699999999999999,10.74,-0.192
35,0.1,10.91,-0.231
36,0.135,10.77,-0.26899999999999996
37,0.214,9.5,-0.231
38,0.135,9.81,-0.17300000000000001
39,-0.006,10.91,-0.231
40,-0.047,10.82,-0.26899999999999996
41,0.015,9.4,-0.231
42,-0.073,9.72,-0.183
43,-0.188,10.91,-0.231
44,-0.155,10.77,-0.27899999999999997
45,-0.059000000000000004,9.99,-0.221
46,-0.073,9.5,-0.183
47,-0.141,10.84,-0.231
48,-0.19,10.86,-0.27899999999999997
49,-0.026000000000000002,10.23,-0.221
50,-0.006,9.45,-0.17300000000000001
51,-0.091,10.86,-0.231
52,-0.105,10.86,-0.27899999999999997
53,0.059000000000000004,9.79,-0.221
54,0.035,9.4,-0.183
55,-0.038,10.79,-0.221
56,-0.105,10.89,-0.27899999999999997
57,0.07,10.38,-0.231
58,0.064,9.4,-0.183
59,0.073,9.94,-0.231
60,-0.085,10.91,-0.27899999999999997
61,0.055999999999999994,10.52,-0.231
62,0.067,9.4,-0.183
63,0.044000000000000004,10.45,-0.231
64,-0.08800000000000001,10.89,-0.26899999999999996
65,0.023,10.74,-0.231
66,0.047,9.64,-0.183
67,0.073,9.94,-0.231
68,-0.1,10.89,-0.27899999999999997
69,0.079,9.96,-0.221
70,0.079,9.4,-0.183
71,-0.012,10.84,-0.231
72,-0.038,10.86,-0.27899999999999997
73,0.105,9.81,-0.221
74,0.073,9.42,-0.183
75,-0.038,10.89,-0.231
76,-0.035,10.84,-0.27899999999999997
77,0.114,9.4,-0.231
78,0.05,10.06,-0.183
79,-0.038,10.89,-0.231
80,0.064,10.3,-0.26899999999999996
81,0.12300000000000001,9.4,-0.221
82,-0.015,10.79,-0.183
83,-0.012,10.86,-0.231
84,0.111,10.23,-0.26899999999999996
85,0.138,9.42,-0.221
86,0.059000000000000004,10.52,-0.192
87,-0.038,10.89,-0.221
88,0.018000000000000002,10.45,-0.27899999999999997
89,0.091,9.4,-0.221
90,-0.062,10.84,-0.192
91,-0.003,10.86,-0.231
92,0.073,9.4,-0.26899999999999996
93,0.012,10.67,-0.231
94,-0.085,10.89,-0.183
95,0.08199999999999999,10.52,-0.231
96,0.205,9.57,-0.26899999999999996
97,0.387,10.08,-0.231
98,0.20199999999999999,10.89,-0.192
99,-0.319,10.72,-0.231
100,-0.40399999999999997,9.45,-0.26899999999999996
101,-0.161,9.72,-0.231
102,-0.073,10.86,-0.192
103,0.12300000000000001,10.57,-0.231
104,0.135,9.37,-0.26899999999999996
105,0.146,10.08,-0.231
106,0.012,10.89,-0.192
107,0.076,10.84,-0.231
108,0.132,9.45,-0.26899999999999996
109,0.14400000000000002,10.11,-0.231
110,-0.021,10.89,-0.192
111,0.182,10.23,-0.231
112,0.161,9.4,-0.26899999999999996
113,0.094,10.74,-0.231
114,0.035,10.84,-0.192
115,0.19899999999999998,9.45,-0.221
116,0.146,10.16,-0.27899999999999997
117,0.08199999999999999,10.91,-0.231
118,0.12,10.79,-0.192
119,0.22,9.55,-0.221
120,0.188,9.67,-0.26899999999999996
121,0.067,10.86,-0.221
122,-0.006,10.86,-0.183
123,0.073,9.91,-0.221
124,-0.012,9.42,-0.26899999999999996
125,-0.091,10.69,-0.231
126,-0.226,10.89,-0.192
127,-0.067,10.21,-0.231
128,-0.08800000000000001,9.67,-0.27899999999999997
129,-0.188,10.89,-0.231
130,-0.08199999999999999,10.3,-0.183
131,-0.015,9.4,-0.231
132,-0.132,10.6,-0.27899999999999997
133,-0.155,10.89,-0.231
134,0.0,10.45,-0.192
135,0.059000000000000004,9.42,-0.231
136,-0.085,10.86,-0.27899999999999997
137,0.009000000000000001,10.74,-0.231
138,0.05,9.72,-0.17300000000000001
139,0.073,9.59,-0.231
140,-0.079,10.89,-0.27899999999999997
141,0.028999999999999998,10.62,-0.221
142,0.038,9.37,-0.17300000000000001
143,0.047,10.33,-0.231
144,-0.085,10.91,-0.27899999999999997
145,0.006,10.82,-0.231
146,0.055999999999999994,9.45,-0.17300000000000001
147,0.07,9.81,-0.231
148,-0.073,10.89,-0.28800000000000003
149,0.018000000000000002,10.67,-0.24
