,ecg,eda,acc
0,0.0,504.0,65.0
1,0.0,505.0,65.0
2,0.0,508.0,65.0
3,0.0,509.0,65.0
4,0.0,510.0,66.0
5,0.0,518.0,67.0
6,0.0,507.0,64.0
7,0.0,512.0,67.0
8,0.0,508.0,67.0
9,0.0,508.0,65.0
10,0.0,510.0,66.0
11,0.0,510.0,66.0
12,0.0,512.0,66.0
13,0.0,514.0,65.0
14,0.0,507.0,65.0
15,0.0,512.0,65.0
16,0.0,511.0,67.0
17,0.0,512.0,68.0
18,0.0,516.0,71.0
19,0.0,510.0,71.0
20,0.0,508.0,71.0
21,0.0,518.0,71.0
22,0.0,511.0,72.0
23,0.0,509.0,72.0
24,0.0,508.0,71.0
25,0.0,518.0,71.0
26,0.0,518.0,67.0
27,0.0,523.0,65.0
28,0.0,510.0,62.0
29,0.0,511.0,62.0
30,0.0,501.0,62.0
31,0.0,509.0,63.0
32,0.0,507.0,64.0
33,0.0,523.0,65.0
34,0.0,510.0,65.0
35,0.0,520.0,64.0
36,0.0,498.0,64.0
37,0.0,517.0,64.0
38,0.0,507.0,65.0
39,0.0,512.0,66.0
40,0.0,505.0,67.0
41,0.0,516.0,67.0
42,0.0,510.0,68.0
43,0.0,524.0,67.0
44,0.0,518.0,67.0
45,0.0,532.0,66.0
46,0.0,518.0,66.0
47,0.0,515.0,66.0
48,0.0,492.0,67.0
49,0.0,506.0,67.0
50,0.0,502.0,67.0
51,0.0,510.0,67.0
52,0.0,499.0,66.0
53,0.0,513.0,67.0
54,0.0,505.0,67.0
55,0.0,524.0,67.0
56,0.0,526.0,67.0
57,0.0,522.0,67.0
58,0.0,497.0,67.0
59,0.0,500.0,68.0
60,0.0,497.0,70.0
61,0.0,503.0,70.0
62,0.0,500.0,71.0
63,0.0,508.0,71.0
64,0.0,502.0,71.0
65,0.0,514.0,71.0
66,0.0,506.0,71.0
67,0.0,510.0,71.0
68,0.0,513.0,70.0
69,0.0,518.0,71.0
70,0.0,497.0,71.0
71,0.0,504.0,71.0
72,0.0,504.0,71.0
73,0.0,511.0,70.0
74,0.0,521.0,69.0
75,0.0,506.0,64.0
76,0.0,482.0,64.0
77,0.0,495.0,63.0
78,0.0,494.0,63.0
79,0.0,511.0,64.0
80,0.0,511.0,65.0
81,0.0,515.0,67.0
82,0.0,510.0,70.0
83,0.0,513.0,72.0
84,0.0,522.0,73.0
85,0.0,574.0,73.0
86,0.0,505.0,73.0
87,0.0,501.0,73.0
88,0.0,494.0,71.0
89,0.0,505.0,71.0
90,0.0,497.0,70.0
91,0.0,513.0,69.0
92,0.0,504.0,67.0
93,0.0,517.0,63.0
94,0.0,501.0,62.0
95,0.0,511.0,62.0
96,0.0,504.0,62.0
97,0.0,503.0,63.0
98,0.0,512.0,66.0
99,0.0,526.0,69.0
100,0.0,499.0,72.0
101,0.0,539.0,72.0
102,0.0,519.0,71.0
103,0.0,515.0,69.0
104,0.0,488.0,67.0
105,0.0,499.0,66.0
106,0.0,496.0,65.0
107,0.0,504.0,64.0
108,0.0,497.0,64.0
109,0.0,515.0,66.0
110,0.0,504.0,68.0
111,0.0,513.0,69.0
112,0.0,511.0,70.0
113,0.0,524.0,71.0
114,0.0,520.0,70.0
115,0.0,584.0,68.0
116,0.0,504.0,67.0
117,0.0,485.0,66.0
118,0.0,487.0,65.0
119,0.0,499.0,65.0
120,0.0,493.0,65.0
121,0.0,511.0,65.0
122,0.0,505.0,66.0
123,0.0,510.0,67.0
124,0.0,510.0,69.0
125,0.0,525.0,71.0
126,0.0,519.0,71.0
127,0.0,558.0,71.0
128,0.0,493.0,70.0
129,0.0,506.0,68.0
130,0.0,482.0,66.0
131,0.0,503.0,64.0
132,0.0,490.0,64.0
133,0.0,498.0,64.0
134,0.0,500.0,65.0
135,0.0,511.0,65.0
136,0.0,501.0,66.0
137,0.0,517.0,69.0
138,0.0,512.0,72.0
139,0.0,643.0,72.0
140,0.0,511.0,73.0
141,0.0,494.0,71.0
142,0.0,486.0,70.0
143,0.0,515.0,68.0
144,0.0,485.0,66.0
145,0.0,500.0,65.0
146,0.0,475.0,65.0
147,0.0,507.0,65.0
148,0.0,492.0,67.0
149,0.0,771.0,68.0
150,0.0,553.0,71.0
151,0.0,1018.0,71.0
152,0.0,642.0,71.0
153,0.0,1018.0,69.0
154,0.0,1018.0,69.0
155,0.0,0.0,67.0
156,0.0,0.0,67.0
157,0.0,0.0,67.0
158,0.0,0.0,67.0
159,0.0,0.0,67.0
160,0.0,0.0,67.0
161,0.0,0.0,68.0
162,0.0,0.0,70.0
163,0.0,948.0,72.0
164,0.0,282.0,71.0
165,0.0,719.0,71.0
166,0.0,0.0,69.0
167,0.0,358.0,68.0
168,0.0,0.0,67.0
169,0.0,360.0,66.0
170,0.0,0.0,65.0
171,0.0,0.0,64.0
172,0.0,0.0,65.0
173,0.0,0.0,64.0
174,0.0,0.0,68.0
175,0.0,0.0,70.0
176,0.0,0.0,71.0
177,0.0,0.0,71.0
178,0.0,0.0,71.0
179,0.0,1018.0,70.0
180,0.0,661.0,69.0
181,0.0,843.0,68.0
182,0.0,0.0,65.0
183,0.0,0.0,65.0
184,0.0,0.0,65.0
185,0.0,0.0,66.0
186,0.0,0.0,67.0
187,0.0,0.0,70.0
188,0.0,0.0,71.0
189,0.0,352.0,72.0
190,0.0,20.0,71.0
191,0.0,518.0,71.0
192,0.0,277.0,69.0
193,0.0,1018.0,67.0
194,0.0,306.0,65.0
195,0.0,398.0,65.0
196,1.0,0.0,66.0
197,0.0,814.0,67.0
198,0.0,214.0,66.0
199,1.0,1018.0,66.0
200,0.0,1018.0,67.0
201,0.0,1018.0,67.0
202,0.0,659.0,67.0
203,0.0,1018.0,66.0
204,0.0,0.0,66.0
205,0.0,166.0,67.0
206,0.0,0.0,67.0
207,0.0,572.0,67.0
208,0.0,0.0,66.0
209,0.0,1018.0,67.0
210,0.0,806.0,68.0
211,0.0,1018.0,71.0
212,1.0,260.0,72.0
213,0.0,1018.0,73.0
214,0.0,193.0,71.0
215,0.0,1018.0,70.0
216,0.0,1018.0,68.0
217,0.0,0.0,65.0
218,0.0,0.0,66.0
219,0.0,0.0,66.0
220,0.0,0.0,66.0
221,0.0,0.0,66.0
222,0.0,0.0,63.0
223,0.0,1018.0,68.0
224,0.0,1018.0,71.0
225,1.0,1018.0,71.0
226,0.0,1018.0,70.0
227,0.0,0.0,67.0
228,0.0,0.0,65.0
229,0.0,0.0,65.0
230,0.0,0.0,66.0
231,0.0,0.0,65.0
232,0.0,0.0,65.0
233,0.0,0.0,64.0
234,0.0,0.0,64.0
235,0.0,1018.0,65.0
236,0.0,1018.0,67.0
237,1.0,1017.0,67.0
238,0.0,208.0,65.0
239,1.0,0.0,63.0
240,0.0,0.0,61.0
241,0.0,0.0,60.0
242,0.0,0.0,57.0
243,0.0,0.0,59.0
244,0.0,0.0,59.0
245,0.0,0.0,59.0
246,0.0,0.0,60.0
247,0.0,0.0,59.0
248,0.0,0.0,60.0
249,0.0,1018.0,62.0
250,0.0,1018.0,60.0
251,0.0,0.0,60.0
252,0.0,0.0,60.0
253,0.0,0.0,60.0
254,0.0,0.0,59.0
255,0.0,0.0,59.0
256,0.0,0.0,60.0
257,0.0,0.0,61.0
258,0.0,0.0,61.0
259,0.0,0.0,62.0
260,0.0,0.0,63.0
261,0.0,0.0,63.0
262,0.0,0.0,63.0
263,0.0,0.0,62.0
264,0.0,0.0,61.0
265,0.0,1018.0,62.0
266,0.0,1018.0,63.0
267,0.0,704.0,61.0
268,0.0,0.0,60.0
269,0.0,0.0,60.0
270,0.0,0.0,60.0
271,0.0,0.0,60.0
272,0.0,0.0,63.0
273,0.0,1018.0,62.0
274,0.0,1018.0,63.0
275,1.0,1018.0,62.0
276,0.0,1018.0,62.0
277,0.0,0.0,61.0
278,0.0,0.0,60.0
279,0.0,0.0,62.0
280,0.0,0.0,62.0
281,0.0,0.0,62.0
282,0.0,0.0,61.0
283,0.0,0.0,62.0
284,0.0,0.0,61.0
285,0.0,0.0,61.0
286,0.0,0.0,62.0
287,0.0,1018.0,68.0
288,0.0,1018.0,67.0
289,0.0,0.0,65.0
290,0.0,0.0,65.0
291,0.0,0.0,63.0
292,0.0,0.0,66.0
293,0.0,0.0,65.0
294,0.0,0.0,64.0
295,0.0,0.0,59.0
296,0.0,0.0,61.0
297,0.0,0.0,65.0
298,0.0,0.0,67.0
299,0.0,0.0,65.0
300,0.0,0.0,64.0
301,0.0,0.0,64.0
302,0.0,0.0,63.0
303,0.0,0.0,61.0
304,0.0,19.0,60.0
305,0.0,127.0,59.0
306,0.0,177.0,65.0
307,0.0,1018.0,65.0
308,0.0,1018.0,63.0
309,0.0,1018.0,64.0
